"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年3月8日","28,228.42","28,409.14","28,533.76","28,201.09","3.09B","-1.91%"
"2019年3月7日","28,779.45","28,965.42","29,007.07","28,772.45","1.74B","-0.89%"
"2019年3月6日","29,037.60","29,003.25","29,122.81","28,938.39","1.85B","0.26%"
"2019年3月5日","28,961.60","28,823.16","29,025.79","28,734.81","2.01B","0.01%"
"2019年3月4日","28,959.59","28,855.11","29,241.80","28,760.67","2.77B","0.51%"
"2019年3月1日","28,812.17","28,716.60","28,860.20","28,663.71","1.99B","0.63%"
"2019年2月28日","28,633.18","28,719.71","28,917.49","28,571.13","2.15B","-0.43%"
"2019年2月27日","28,757.44","28,833.16","29,014.19","28,701.47","2.45B","-0.05%"
"2019年2月26日","28,772.06","28,971.23","28,971.23","28,700.01","2.84B","-0.65%"
"2019年2月25日","28,959.30","28,975.52","29,009.98","28,763.46","3.63B","0.50%"
"2019年2月22日","28,816.30","28,478.96","28,816.30","28,430.20","1.76B","0.65%"
"2019年2月21日","28,629.92","28,450.00","28,759.35","28,364.85","1.87B","0.41%"
"2019年2月20日","28,514.05","28,404.68","28,599.77","28,357.30","1.99B","1.01%"
"2019年2月19日","28,228.13","28,440.49","28,488.97","28,208.87","1.70B","-0.42%"
"2019年2月18日","28,347.01","28,186.75","28,412.08","28,186.75","1.60B","1.60%"
"2019年2月15日","27,900.84","28,241.44","28,256.69","27,845.87","1.84B","-1.87%"
"2019年2月14日","28,432.05","28,396.40","28,476.65","28,275.18","1.48B","-0.23%"
"2019年2月13日","28,497.59","28,184.87","28,533.36","28,160.46","1.99B","1.16%"
"2019年2月12日","28,171.33","28,093.31","28,219.59","27,983.48","1.54B","0.10%"
"2019年2月11日","28,143.84","27,927.45","28,143.84","27,847.85","1.43B","0.71%"
"2019年2月8日","27,946.32","27,708.13","28,008.82","27,534.20","1.57B","-0.16%"
"2019年2月4日","27,990.21","27,985.42","28,005.15","27,847.43","833.05M","0.21%"
"2019年2月1日","27,930.74","28,193.28","28,193.28","27,802.50","1.72B","-0.04%"
"2019年1月31日","27,942.47","27,842.05","28,010.90","27,773.98","2.29B","1.08%"
"2019年1月30日","27,642.85","27,571.41","27,642.85","27,369.75","1.88B","0.40%"
"2019年1月29日","27,531.68","27,397.54","27,575.37","27,328.17","1.88B","-0.16%"
"2019年1月28日","27,576.96","27,695.81","27,790.22","27,462.37","1.76B","0.03%"
"2019年1月25日","27,569.19","27,282.88","27,569.19","27,217.75","2.34B","1.65%"
"2019年1月24日","27,120.98","27,075.37","27,120.98","26,889.79","1.36B","0.42%"
"2019年1月23日","27,008.20","26,879.91","27,131.22","26,879.91","1.42B","0.01%"
"2019年1月22日","27,005.45","27,189.40","27,223.70","26,854.66","1.63B","-0.70%"
"2019年1月21日","27,196.54","27,134.27","27,323.61","27,084.30","1.69B","0.39%"
"2019年1月18日","27,090.81","26,993.44","27,116.65","26,915.08","1.75B","1.25%"
"2019年1月17日","26,755.63","26,953.21","27,012.19","26,703.31","1.92B","-0.54%"
"2019年1月16日","26,902.10","26,702.93","26,903.78","26,567.52","1.77B","0.27%"
"2019年1月15日","26,830.29","26,518.62","26,838.55","26,427.45","1.88B","2.02%"
"2019年1月14日","26,298.33","26,559.68","26,575.33","26,195.78","1.47B","-1.38%"
"2019年1月11日","26,667.27","26,692.02","26,692.02","26,494.86","1.86B","0.55%"
"2019年1月10日","26,521.43","26,391.78","26,588.21","26,212.34","2.00B","0.22%"
"2019年1月9日","26,462.32","26,237.29","26,597.07","26,192.65","2.76B","2.27%"
"2019年1月8日","25,875.45","25,852.50","25,960.89","25,688.50","1.63B","0.15%"
"2019年1月7日","25,835.70","26,015.84","26,043.64","25,753.46","1.49B","0.82%"
"2019年1月4日","25,626.03","24,946.12","25,626.03","24,924.73","1.76B","2.24%"
"2019年1月3日","25,064.36","25,077.68","25,262.21","24,896.87","1.53B","-0.26%"
"2019年1月2日","25,130.35","25,824.44","25,824.44","25,055.27","1.72B","-2.77%"
"2018年12月31日","25,845.70","25,732.52","25,916.23","25,682.66","852.07M","1.34%"
"2018年12月28日","25,504.20","25,502.34","25,600.25","25,416.36","1.26B","0.10%"
"2018年12月27日","25,478.88","25,818.81","25,920.63","25,446.80","1.35B","-0.67%"
"2018年12月24日","25,651.38","25,515.40","25,651.38","25,421.43","1.11B","-0.40%"
"2018年12月21日","25,753.42","25,512.30","25,805.61","25,313.75","2.00B","0.51%"
"2018年12月20日","25,623.53","25,723.53","25,859.82","25,416.88","1.77B","-0.94%"
"2018年12月19日","25,865.39","25,860.68","25,925.99","25,784.09","1.47B","0.20%"
"2018年12月18日","25,814.25","25,903.98","26,152.88","25,713.50","1.49B","-1.05%"
"2018年12月17日","26,087.98","26,178.04","26,186.30","26,002.30","1.07B","-0.03%"
"2018年12月14日","26,094.79","26,219.00","26,219.00","26,061.47","1.39B","-1.62%"
"2018年12月13日","26,524.35","26,417.89","26,581.93","26,314.77","1.80B","1.29%"
"2018年12月12日","26,186.71","26,054.01","26,238.73","26,013.36","1.43B","1.61%"
"2018年12月11日","25,771.67","25,623.40","25,861.73","25,623.40","1.23B","0.07%"
"2018年12月10日","25,752.38","25,794.95","25,845.34","25,570.89","1.59B","-1.19%"
"2018年12月7日","26,063.76","26,249.81","26,280.66","26,055.78","2.81B","-0.35%"
"2018年12月6日","26,156.38","26,349.42","26,381.12","26,016.09","2.12B","-2.47%"
"2018年12月5日","26,819.68","26,745.69","26,914.87","26,745.69","1.37B","-1.62%"
"2018年12月4日","27,260.44","27,119.19","27,260.44","26,984.71","1.94B","0.29%"
"2018年12月3日","27,182.04","27,185.66","27,259.43","27,006.83","2.63B","2.55%"
"2018年11月30日","26,506.75","26,506.09","26,683.25","26,396.62","2.06B","0.21%"
"2018年11月29日","26,451.03","26,904.21","26,923.33","26,399.81","1.52B","-0.87%"
"2018年11月28日","26,682.56","26,406.68","26,705.30","26,332.66","1.46B","1.33%"
"2018年11月27日","26,331.96","26,345.37","26,417.84","26,158.97","1.44B","-0.17%"
"2018年11月26日","26,376.18","26,099.35","26,413.76","26,031.90","1.66B","1.73%"
"2018年11月23日","25,927.68","25,950.07","25,983.25","25,807.26","904.19M","-0.35%"
"2018年11月22日","26,019.41","26,139.39","26,139.39","25,873.38","1.04B","0.18%"
"2018年11月21日","25,971.47","25,496.85","25,998.28","25,494.51","1.44B","0.51%"
"2018年11月20日","25,840.34","26,043.51","26,132.29","25,776.22","1.24B","-2.02%"
"2018年11月19日","26,372.00","26,278.87","26,397.39","26,146.39","1.36B","0.72%"
"2018年11月16日","26,183.53","26,041.56","26,197.31","25,850.04","1.37B","0.31%"
"2018年11月15日","26,103.34","25,862.18","26,127.14","25,611.72","1.58B","1.75%"
"2018年11月14日","25,654.43","25,874.36","25,874.36","25,489.86","1.48B","-0.54%"
"2018年11月13日","25,792.87","25,092.30","25,792.87","25,092.30","1.74B","0.62%"
"2018年11月12日","25,633.18","25,576.28","25,765.96","25,505.33","1.21B","0.12%"
"2018年11月9日","25,601.92","25,925.09","25,925.09","25,475.32","1.90B","-2.39%"
"2018年11月8日","26,227.72","26,491.27","26,491.27","26,141.25","1.71B","0.31%"
"2018年11月7日","26,147.69","26,125.09","26,530.87","25,920.72","1.78B","0.10%"
"2018年11月6日","26,120.96","26,062.24","26,159.83","25,826.69","1.61B","0.72%"
"2018年11月5日","25,934.39","26,050.34","26,146.81","25,747.52","1.68B","-2.08%"
"2018年11月2日","26,486.35","25,980.44","26,486.35","25,909.71","3.63B","4.21%"
"2018年11月1日","25,416.00","25,228.75","25,535.12","25,190.90","2.24B","1.75%"
"2018年10月31日","24,979.69","24,752.83","24,979.69","24,700.11","2.44B","1.60%"
"2018年10月30日","24,585.53","24,765.12","24,939.18","24,540.63","2.17B","-0.91%"
"2018年10月29日","24,812.04","24,955.79","24,955.79","24,594.74","2.06B","0.38%"
"2018年10月26日","24,717.63","25,031.49","25,062.20","24,589.04","1.74B","-1.11%"
"2018年10月25日","24,994.46","24,766.72","24,994.46","24,653.79","2.36B","-1.01%"
"2018年10月24日","25,249.78","25,401.17","25,653.36","25,194.29","2.02B","-0.38%"
"2018年10月23日","25,346.55","26,015.49","26,015.49","25,315.76","1.83B","-3.08%"
"2018年10月22日","26,153.15","25,668.33","26,234.86","25,668.33","2.29B","2.32%"
"2018年10月19日","25,561.40","25,172.03","25,743.45","25,090.30","2.10B","0.42%"
"2018年10月18日","25,454.55","25,674.66","25,674.66","25,261.72","1.82B","-0.03%"
"2018年10月16日","25,462.26","25,586.16","25,712.13","25,266.54","1.51B","0.07%"
"2018年10月15日","25,445.06","25,683.59","25,683.59","25,399.54","1.66B","-1.38%"
"2018年10月12日","25,801.49","25,401.41","25,835.76","25,286.86","2.16B","2.12%"
"2018年10月11日","25,266.37","25,392.90","25,437.85","25,125.22","3.19B","-3.54%"
"2018年10月10日","26,193.07","26,281.28","26,499.84","26,193.07","1.77B","0.08%"
"2018年10月9日","26,172.91","26,194.17","26,366.60","26,067.51","1.80B","-0.11%"
"2018年10月8日","26,202.57","26,717.60","26,717.60","26,187.83","2.37B","-1.39%"
"2018年10月5日","26,572.57","26,503.75","26,639.64","26,373.46","1.74B","-0.19%"
"2018年10月4日","26,623.87","27,029.40","27,029.40","26,551.44","1.96B","-1.73%"
"2018年10月3日","27,091.26","26,840.20","27,270.16","26,840.20","1.36B","-0.13%"
"2018年10月2日","27,126.38","27,716.16","27,716.16","27,073.08","2.15B","-2.38%"
"2018年9月28日","27,788.52","27,879.06","27,927.95","27,672.83","1.69B","0.26%"
"2018年9月27日","27,715.67","27,912.51","27,928.29","27,638.54","1.49B","-0.36%"
"2018年9月26日","27,816.87","27,606.81","28,031.81","27,589.37","2.41B","1.15%"
"2018年9月24日","27,499.39","27,783.85","27,783.85","27,425.01","1.56B","-1.62%"
"2018年9月21日","27,953.58","27,712.35","27,965.96","27,536.27","2.86B","1.73%"
"2018年9月20日","27,477.67","27,605.72","27,628.19","27,327.23","1.44B","0.26%"
"2018年9月19日","27,407.37","27,170.02","27,488.35","27,085.79","1.93B","1.19%"
"2018年9月18日","27,084.66","26,846.33","27,156.55","26,648.99","1.87B","0.56%"
"2018年9月17日","26,932.85","27,029.91","27,037.48","26,763.21","1.30B","-1.30%"
"2018年9月14日","27,286.41","27,229.79","27,340.02","27,027.45","1.76B","1.01%"
"2018年9月13日","27,014.49","26,798.39","27,014.49","26,648.77","2.41B","2.54%"
"2018年9月12日","26,345.04","26,462.82","26,468.91","26,219.56","2.33B","-0.29%"
"2018年9月11日","26,422.55","26,611.93","26,690.65","26,394.87","1.74B","-0.72%"
"2018年9月10日","26,613.42","26,922.27","26,926.63","26,453.29","2.11B","-1.33%"
"2018年9月7日","26,973.47","26,895.87","27,196.57","26,669.58","2.95B","-0.01%"
"2018年9月6日","26,974.82","27,069.21","27,268.39","26,818.82","2.24B","-0.99%"
"2018年9月5日","27,243.85","27,789.02","27,861.99","27,208.34","1.97B","-2.61%"
"2018年9月4日","27,973.34","27,619.18","27,984.89","27,563.79","1.14B","0.94%"
"2018年9月3日","27,712.54","27,809.45","27,822.19","27,577.04","1.44B","-0.63%"
"2018年8月31日","27,888.55","27,798.21","27,962.03","27,720.32","1.98B","-0.98%"
"2018年8月30日","28,164.05","28,533.93","28,533.93","28,121.40","1.33B","-0.89%"
"2018年8月29日","28,416.44","28,362.84","28,485.83","28,272.13","1.41B","0.23%"
"2018年8月28日","28,351.62","28,530.89","28,579.64","28,234.53","1.70B","0.28%"
"2018年8月27日","28,271.27","28,016.66","28,289.06","27,956.04","2.20B","2.17%"
"2018年8月24日","27,671.87","27,565.98","27,830.91","27,532.06","1.54B","-0.43%"
"2018年8月23日","27,790.46","28,005.33","28,051.65","27,659.21","1.51B","-0.49%"
"2018年8月22日","27,927.58","27,836.68","27,954.52","27,579.80","1.84B","0.63%"
"2018年8月21日","27,752.79","27,670.54","27,771.30","27,526.30","1.75B","0.56%"
"2018年8月20日","27,598.02","27,273.78","27,609.80","27,209.22","1.71B","1.41%"
"2018年8月17日","27,213.41","27,388.57","27,450.84","27,101.10","1.61B","0.42%"
"2018年8月16日","27,100.06","26,871.11","27,405.25","26,871.11","2.20B","-0.82%"
"2018年8月15日","27,323.59","27,724.72","27,727.27","27,249.08","1.97B","-1.55%"
"2018年8月14日","27,752.93","27,938.32","27,946.55","27,522.82","1.54B","-0.66%"
"2018年8月13日","27,936.57","27,956.78","28,085.17","27,823.21","1.53B","-1.52%"
"2018年8月10日","28,366.62","28,614.73","28,665.90","28,296.99","1.32B","-0.84%"
"2018年8月9日","28,607.30","28,260.50","28,728.17","28,192.81","1.49B","0.88%"
"2018年8月8日","28,359.14","28,473.48","28,473.48","28,224.46","1.66B","0.39%"
"2018年8月7日","28,248.88","27,889.44","28,266.68","27,843.16","1.60B","1.54%"
"2018年8月6日","27,819.56","27,885.51","28,074.53","27,730.42","1.49B","0.52%"
"2018年8月3日","27,676.32","27,751.60","27,786.15","27,604.56","1.66B","-0.14%"
"2018年8月2日","27,714.56","28,159.01","28,218.28","27,578.09","2.05B","-2.21%"
"2018年8月1日","28,340.74","28,756.72","28,772.80","28,219.97","1.56B","-0.85%"
"2018年7月31日","28,583.01","28,663.14","28,682.31","28,538.03","1.51B","-0.52%"
"2018年7月30日","28,733.13","28,631.05","28,839.24","28,539.56","1.27B","-0.25%"
"2018年7月27日","28,804.28","28,734.73","28,816.69","28,572.79","1.24B","0.08%"
"2018年7月26日","28,781.14","29,083.40","29,083.40","28,625.08","1.46B","-0.48%"
"2018年7月25日","28,920.90","28,906.97","28,964.79","28,764.35","1.68B","0.90%"
"2018年7月24日","28,662.57","28,282.30","28,718.00","28,282.30","2.49B","1.44%"
"2018年7月23日","28,256.12","28,298.61","28,391.58","28,091.06","1.95B","0.11%"
"2018年7月20日","28,224.48","28,054.76","28,294.74","27,745.85","2.52B","0.76%"
"2018年7月19日","28,010.86","28,251.16","28,329.98","27,998.36","1.54B","-0.38%"
"2018年7月18日","28,117.42","28,352.11","28,386.38","28,045.47","1.55B","-0.23%"
"2018年7月17日","28,181.68","28,451.50","28,460.87","28,137.95","1.75B","-1.25%"
"2018年7月16日","28,539.66","28,580.96","28,699.21","28,327.00","1.28B","0.05%"
"2018年7月13日","28,525.44","28,689.18","28,715.36","28,500.51","1.49B","0.16%"
"2018年7月12日","28,480.83","28,260.09","28,614.53","28,217.31","1.91B","0.60%"
"2018年7月11日","28,311.69","28,013.72","28,365.72","28,013.72","1.93B","-1.29%"
"2018年7月10日","28,682.25","28,900.71","28,981.93","28,682.25","1.72B","-0.02%"
"2018年7月9日","28,688.50","28,606.16","28,821.54","28,518.52","1.94B","1.32%"
"2018年7月6日","28,315.62","28,254.37","28,554.21","27,925.33","2.08B","0.47%"
"2018年7月5日","28,182.09","28,101.85","28,320.90","27,830.75","1.94B","-0.21%"
"2018年7月4日","28,241.67","28,546.32","28,642.34","28,141.28","2.17B","-1.06%"
"2018年7月3日","28,545.57","28,617.00","28,617.00","27,990.45","3.38B","-1.41%"
"2018年6月29日","28,955.11","28,463.85","28,962.29","28,463.85","2.46B","1.61%"
"2018年6月28日","28,497.32","28,368.01","28,567.29","28,169.10","2.65B","0.50%"
"2018年6月27日","28,356.26","28,957.64","28,988.83","28,342.82","2.65B","-1.82%"
"2018年6月26日","28,881.40","28,881.18","29,034.23","28,505.09","2.61B","-0.28%"
"2018年6月25日","28,961.39","29,326.12","29,403.36","28,895.40","2.37B","-1.29%"
"2018年6月22日","29,338.70","29,215.54","29,436.84","29,089.39","2.22B","0.15%"
"2018年6月21日","29,296.05","29,764.05","29,882.27","29,285.71","2.09B","-1.35%"
"2018年6月20日","29,696.17","29,478.46","29,944.30","29,406.20","2.30B","0.77%"
"2018年6月19日","29,468.15","29,999.01","30,012.04","29,332.28","3.67B","-2.78%"
"2018年6月15日","30,309.49","30,411.07","30,519.29","30,259.11","2.41B","-0.43%"
"2018年6月14日","30,440.17","30,684.07","30,777.96","30,349.96","2.19B","-0.93%"
"2018年6月13日","30,725.15","30,990.37","31,023.73","30,688.26","1.68B","-1.22%"
"2018年6月12日","31,103.06","31,029.85","31,242.86","30,944.97","1.42B","0.13%"
"2018年6月11日","31,063.70","31,016.52","31,134.03","30,898.57","1.36B","0.34%"
"2018年6月8日","30,958.21","31,435.26","31,435.26","30,874.10","1.77B","-1.76%"
"2018年6月7日","31,512.63","31,464.63","31,521.13","31,369.28","2.00B","0.81%"
"2018年6月6日","31,259.10","31,162.02","31,332.42","31,161.37","1.51B","0.53%"
"2018年6月5日","31,093.45","31,009.47","31,188.93","30,896.11","1.78B","0.31%"
"2018年6月4日","30,997.98","30,836.77","31,012.92","30,743.18","1.89B","1.66%"
"2018年6月1日","30,492.91","30,548.78","30,581.12","30,363.49","2.86B","0.08%"
"2018年5月31日","30,468.56","30,274.18","30,533.58","30,148.43","4.24B","1.37%"
"2018年5月30日","30,056.79","30,109.37","30,241.23","29,964.34","2.48B","-1.40%"
"2018年5月29日","30,484.58","30,647.26","30,713.32","30,454.18","1.71B","-1.00%"
"2018年5月28日","30,792.26","30,759.84","30,839.30","30,530.47","1.79B","0.67%"
"2018年5月25日","30,588.04","30,664.27","30,736.97","30,525.74","1.73B","-0.56%"
"2018年5月24日","30,760.41","30,718.66","30,788.97","30,589.38","1.63B","0.31%"
"2018年5月23日","30,665.64","31,191.87","31,191.87","30,665.64","2.51B","-1.82%"
"2018年5月21日","31,234.35","31,232.79","31,464.10","31,232.79","1.65B","0.60%"
"2018年5月18日","31,047.91","31,033.97","31,148.06","30,904.68","1.78B","0.34%"
"2018年5月17日","30,942.15","31,416.71","31,416.71","30,942.15","1.55B","-0.54%"
"2018年5月16日","31,110.20","31,014.72","31,218.08","30,818.78","1.39B","-0.13%"
"2018年5月15日","31,152.03","31,573.18","31,573.18","31,152.03","1.62B","-1.23%"
"2018年5月14日","31,541.08","31,498.36","31,592.56","31,423.57","1.85B","1.35%"
"2018年5月11日","31,122.06","31,151.80","31,277.39","31,032.44","1.68B","1.02%"
"2018年5月10日","30,809.22","30,716.97","30,851.30","30,712.93","1.58B","0.89%"
"2018年5月9日","30,536.14","30,452.16","30,568.76","30,346.62","1.40B","0.44%"
"2018年5月8日","30,402.81","30,123.77","30,444.22","30,123.77","1.67B","1.36%"
"2018年5月7日","29,994.26","30,102.06","30,138.33","29,791.87","1.49B","0.23%"
"2018年5月4日","29,926.50","30,316.98","30,341.46","29,859.30","1.81B","-1.28%"
"2018年5月3日","30,313.37","30,405.48","30,432.07","30,118.65","1.79B","-1.34%"
"2018年5月2日","30,723.88","30,782.21","30,824.77","30,570.81","1.69B","-0.27%"
"2018年4月30日","30,808.45","30,530.40","30,853.13","30,483.91","1.98B","1.74%"
"2018年4月27日","30,280.67","30,300.83","30,336.00","30,019.12","1.66B","0.91%"
"2018年4月26日","30,007.68","30,378.15","30,463.42","29,871.20","1.82B","-1.06%"
"2018年4月25日","30,328.15","30,486.86","30,507.19","30,244.16","1.73B","-1.01%"
"2018年4月24日","30,636.24","30,353.83","30,665.10","30,335.29","1.80B","1.26%"
"2018年4月23日","30,254.40","30,327.03","30,481.86","30,184.45","1.56B","-0.54%"
"2018年4月20日","30,418.33","30,647.94","30,848.47","30,355.79","1.71B","-0.94%"
"2018年4月19日","30,708.44","30,532.95","30,761.47","30,451.00","2.29B","1.40%"
"2018年4月18日","30,284.25","30,469.95","30,487.17","29,979.40","2.06B","0.74%"
"2018年4月17日","30,062.75","30,354.89","30,477.79","30,012.70","1.98B","-0.83%"
"2018年4月16日","30,315.59","30,849.72","30,849.72","30,190.75","1.88B","-1.60%"
"2018年4月13日","30,808.38","31,076.76","31,076.76","30,707.77","1.45B","-0.07%"
"2018年4月12日","30,831.28","31,094.11","31,094.11","30,637.14","1.81B","-0.22%"
"2018年4月11日","30,897.71","30,761.23","31,021.12","30,723.07","2.36B","0.55%"
"2018年4月10日","30,728.74","30,205.09","30,806.86","30,163.09","2.34B","1.65%"
"2018年4月9日","30,229.58","30,104.32","30,514.80","29,909.37","1.90B","1.29%"
"2018年4月6日","29,844.94","29,750.24","29,980.56","29,608.33","1.75B","1.11%"
"2018年4月4日","29,518.69","30,244.22","30,329.08","29,518.69","1.87B","-2.19%"
"2018年4月3日","30,180.10","29,927.88","30,269.28","29,755.36","1.97B","0.29%"
"2018年3月29日","30,093.38","30,154.18","30,252.95","29,819.63","2.23B","0.24%"
"2018年3月28日","30,022.53","30,510.38","30,637.21","30,022.53","2.28B","-2.50%"
"2018年3月27日","30,790.83","30,985.75","30,985.75","30,738.76","2.11B","0.79%"
"2018年3月26日","30,548.77","30,267.07","30,548.77","29,995.16","2.39B","0.79%"
"2018年3月23日","30,309.29","29,930.23","30,320.31","29,930.23","3.63B","-2.45%"
"2018年3月22日","31,071.05","31,575.93","31,686.67","31,018.44","2.17B","-1.09%"
"2018年3月21日","31,414.52","31,811.98","31,978.14","31,381.54","2.38B","-0.43%"
"2018年3月20日","31,549.93","31,315.42","31,576.05","31,183.40","1.80B","0.11%"
"2018年3月19日","31,513.76","31,370.47","31,656.30","31,244.62","1.49B","0.04%"
"2018年3月16日","31,501.97","31,363.03","31,564.78","31,337.45","2.42B","-0.12%"
"2018年3月15日","31,541.10","31,181.15","31,583.38","31,121.66","1.54B","0.34%"
"2018年3月14日","31,435.01","31,321.79","31,453.48","31,141.85","1.76B","-0.53%"
"2018年3月13日","31,601.45","31,570.20","31,709.99","31,461.47","2.18B","0.02%"
"2018年3月12日","31,594.33","31,536.30","31,607.58","31,342.48","2.24B","1.93%"
"2018年3月9日","30,996.21","30,858.27","30,996.21","30,840.80","1.52B","1.11%"
"2018年3月8日","30,654.52","30,523.68","30,724.03","30,428.61","1.58B","1.52%"
"2018年3月7日","30,196.92","30,323.77","30,673.08","30,117.40","2.20B","-1.03%"
"2018年3月6日","30,510.73","30,380.96","30,620.06","30,129.80","2.34B","2.09%"
"2018年3月5日","29,886.39","30,524.26","30,679.47","29,852.42","2.35B","-2.28%"
"2018年3月2日","30,583.45","30,611.10","30,670.94","30,477.95","3.05B","-1.48%"
"2018年3月1日","31,044.25","30,476.99","31,081.68","30,453.82","2.18B","0.65%"
"2018年2月28日","30,844.72","31,037.41","31,061.76","30,703.90","2.48B","-1.36%"
"2018年2月27日","31,268.66","31,790.85","31,798.98","31,141.52","2.66B","-0.73%"
"2018年2月26日","31,498.60","31,528.29","31,567.46","31,273.95","2.09B","0.74%"
"2018年2月23日","31,267.17","31,289.08","31,386.81","31,149.32","1.72B","0.97%"
"2018年2月22日","30,965.68","31,084.45","31,195.27","30,930.10","2.47B","-1.48%"
"2018年2月21日","31,431.89","31,050.52","31,477.85","30,885.95","1.99B","1.81%"
"2018年2月20日","30,873.63","31,165.29","31,339.69","30,720.48","2.10B","-0.78%"
"2018年2月15日","31,115.43","30,958.71","31,145.10","30,816.65","2.13B","1.97%"
"2018年2月14日","30,515.60","30,024.47","30,637.23","29,968.54","2.48B","2.27%"
"2018年2月13日","29,839.53","29,850.15","30,169.00","29,783.10","2.79B","1.29%"
"2018年2月12日","29,459.63","29,713.08","29,801.52","29,459.63","2.90B","-0.16%"
"2018年2月9日","29,507.42","29,679.21","29,679.21","29,129.26","5.33B","-3.10%"
"2018年2月8日","30,451.27","30,555.80","30,739.11","30,251.32","3.24B","0.42%"
"2018年2月7日","30,323.20","31,378.35","31,472.47","30,292.15","4.76B","-0.89%"
"2018年2月6日","30,595.42","31,028.68","31,286.03","30,577.83","5.70B","-5.12%"
"2018年2月5日","32,245.22","31,715.56","32,394.87","31,712.02","3.23B","-1.09%"
"2018年2月2日","32,601.78","32,569.01","32,778.51","32,321.42","2.65B","-0.12%"
"2018年2月1日","32,642.09","32,950.30","33,048.04","32,642.09","2.85B","-0.75%"
"2018年1月31日","32,887.27","32,435.76","32,933.98","32,330.39","3.42B","0.86%"
"2018年1月30日","32,607.29","32,751.72","32,976.75","32,501.35","3.28B","-1.09%"
"2018年1月29日","32,966.89","33,335.48","33,484.08","32,897.04","3.72B","-0.56%"
"2018年1月26日","33,154.12","32,836.28","33,223.58","32,794.13","4.01B","1.53%"
"2018年1月25日","32,654.45","32,979.38","32,998.05","32,650.22","3.56B","-0.92%"
"2018年1月24日","32,958.69","32,907.23","33,018.71","32,728.51","4.02B","0.09%"
"2018年1月23日","32,930.70","32,606.14","32,930.70","32,554.23","4.08B","1.66%"
"2018年1月22日","32,393.41","32,276.96","32,417.23","32,046.84","2.97B","0.43%"
"2018年1月19日","32,254.89","32,142.16","32,254.89","31,986.00","3.00B","0.41%"
"2018年1月18日","32,121.94","32,148.45","32,233.81","31,869.70","3.86B","0.43%"
"2018年1月17日","31,983.41","31,825.52","31,983.41","31,642.27","4.12B","0.25%"
"2018年1月16日","31,904.75","31,423.62","31,904.75","31,423.62","3.19B","1.81%"
"2018年1月15日","31,338.87","31,702.56","31,733.18","31,265.25","2.75B","-0.23%"
"2018年1月12日","31,412.54","31,298.05","31,412.54","31,198.36","2.40B","0.94%"
"2018年1月11日","31,120.39","31,066.21","31,133.18","30,950.07","1.85B","0.15%"
"2018年1月10日","31,073.72","31,009.24","31,267.57","30,928.58","2.68B","0.20%"
"2018年1月9日","31,011.41","30,933.51","31,056.70","30,852.43","2.07B","0.36%"
"2018年1月8日","30,899.53","30,895.09","30,929.15","30,732.54","2.07B","0.28%"
"2018年1月5日","30,814.64","30,893.86","30,911.01","30,638.53","2.33B","0.25%"
"2018年1月4日","30,736.48","30,691.71","30,796.93","30,560.43","3.09B","0.57%"
"2018年1月3日","30,560.95","30,658.73","30,724.32","30,456.76","2.38B","0.15%"
"2018年1月2日","30,515.31","30,028.29","30,515.31","30,028.29","2.44B","1.99%"
"2017年12月29日","29,919.15","29,914.05","29,997.96","29,849.31","1.41B","0.19%"
"2017年12月28日","29,863.71","29,684.79","29,873.10","29,661.06","1.38B","0.90%"
"2017年12月27日","29,597.66","29,632.97","29,693.82","29,516.51","1.78B","0.07%"
"2017年12月22日","29,578.01","29,505.05","29,578.01","29,413.86","1.32B","0.72%"
"2017年12月21日","29,367.06","29,209.64","29,431.81","29,145.13","1.49B","0.45%"
"2017年12月20日","29,234.09","29,199.29","29,326.52","29,159.28","1.35B","-0.07%"
"2017年12月19日","29,253.66","29,193.74","29,339.11","29,144.17","1.68B","0.70%"
"2017年12月18日","29,050.41","28,923.53","29,143.33","28,821.19","1.69B","0.70%"
"2017年12月15日","28,848.11","29,000.11","29,017.66","28,738.84","2.06B","-1.09%"
"2017年12月14日","29,166.38","29,335.76","29,367.51","29,047.61","2.02B","-0.19%"
"2017年12月13日","29,222.10","28,856.78","29,276.67","28,707.60","2.65B","1.49%"
"2017年12月12日","28,793.88","28,972.74","29,066.77","28,745.73","2.20B","-0.59%"
"2017年12月11日","28,965.29","28,645.41","28,998.51","28,645.41","2.19B","1.14%"
"2017年12月8日","28,639.85","28,400.01","28,705.76","28,344.39","1.80B","1.19%"
"2017年12月7日","28,303.19","28,366.14","28,478.34","28,134.93","1.84B","0.28%"
"2017年12月6日","28,224.80","28,850.36","28,929.21","28,204.53","2.69B","-2.14%"
"2017年12月5日","28,842.80","28,898.58","29,124.24","28,838.12","1.48B","-1.01%"
"2017年12月4日","29,138.28","28,951.19","29,343.78","28,803.19","1.67B","0.22%"
"2017年12月1日","29,074.24","29,261.31","29,345.97","29,028.76","2.15B","-0.35%"
"2017年11月30日","29,177.35","29,340.27","29,353.51","29,127.30","2.51B","-1.51%"
"2017年11月29日","29,623.83","29,813.94","29,831.19","29,563.39","1.48B","-0.19%"
"2017年11月28日","29,680.85","29,608.64","29,687.45","29,334.59","1.80B","-0.02%"
"2017年11月27日","29,686.19","29,857.65","29,859.11","29,610.96","1.53B","-0.60%"
